✔️ Token: return NUMBER, lexeme: '5.6E-3'
✔️ Token: return PLUS, lexeme: '+'
✔️ Token: return LPAREN, lexeme: '('
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: return RPAREN, lexeme: ')'
✔️ Token: return ID, lexeme: 'a'
✔️ Token: None, lexeme: '  '
✔️ Token: return SEMICOLON, lexeme: ';'
✔️ Token: return ASSIGNOP, lexeme: ':='
✔️ Token: return LT, lexeme: '<'
✔️ Token: return ASSIGNOP, lexeme: ':='
✔️ Token: return DIV, lexeme: '/'
✔️ Token: None, lexeme: ' '
✔️ Token: return ID, lexeme: 'adfasdf'
✔️ Token: None, lexeme: ' '
✔️ Token: return ID, lexeme: 'ee5666'
✔️ Token: None, lexeme: ' '
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return MINUS, lexeme: '-'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: return TIMES, lexeme: '*'
✔️ Token: None, lexeme: ' 	
'
